/home/imran/Documents/projects/scraper/venv/bin/python /home/imran/Documents/projects/scraper/mongo/test3.py
574
73 2099.8500000000004 [{'name': 'Prusa i3 Premium - Printed Parts Kit'}, 3]
74 2099.7 [{'name': 'eSUN eSilk PLA Filament - 1.75mm Violet'}, 6]
75 2059.9 [{'name': 'Digital Peristaltic Pump'}, 2]
76 2006.6499999999999 [{'name': 'GT2 Timing Belt 6mm - 3m Lengths'}, 67]
77 1999.95 [{'name': 'Particle Electron Asset Tracker GPS Kit – 3G Afr/Eur/Asia'}, 1]
78 1999.8 [{'name': 'Premium Bed Kit for Prusa i3 3D Printers'}, 4]
79 1999.75 [{'name': 'eSUN PETG Filament - 1.75mm Solid Blue'}, 5]
80 1959.6499999999999 [{'name': 'Heat Resistant Silicone Mat'}, 7]
81 1919.3999999999999 [{'name': 'DIYElectronics BuildTak 310x310mm - Custom Branded'}, 12]
82 1918.8000000000002 [{'name': 'Glass Print Bed for Ender 3'}, 24]
83 1879.8 [{'name': 'eSUN eFlex TPU Filament - 1.75mm Transparent Red'}, 4]
84 1799.9 [{'name': 'Creality Ender 5 Silent Motherboard - V1.1.5'}, 2]
85 1799.8500000000001 [{'name': 'Anycubic 3D Resin – Skin 500ml'}, 3]
86 1799.6999999999998 [{'name': 'eSUN PLA+ Filament - 1.75mm Purple'}, 6]
87 1759.6 [{'name': 'ESP32 Development Board'}, 8]
88 1749.75 [{'name': 'eSUN eSilk PLA Filament - 1.75mm Red'}, 5]
89 1739.6999999999998 [{'name': 'eSUN ABS Filament - 1.75mm Black'}, 6]
90 1699.95 [{'name': '5.5inch HDMI AMOLED 1080x1920'}, 1]
91 1699.9 [{'name': 'Arduino Beginner Learning Kit from DFRobot'}, 2]
92 1679.3 [{'name': 'HC-05 Bluetooth to Serial Module - Arduino Compatible'}, 14]
93 1639.8 [{'name': 'Raspberry Pi Zero W'}, 4]
94 1609.6499999999999 [{'name': 'RAMPS Graphical SD/LCD Control Panel'}, 7]
95 1599.9 [{'name': '4.3inch HDMI IPS LCD 800x480 - Capacitive Touch'}, 2]
96 1599.8 [{'name': 'eSUN Polycarbonate Filament - 1.75mm Natural 0.5kg'}, 4]
97 1589.8500000000001 [{'name': 'eSUN eLastic TPE Filament - 1.75mm Red'}, 3]
98 1569.95 [{'name': 'DS212 Dual Channel Mini Handheld Oscilloscope'}, 1]
99 1549.95 [{'name': 'Analog ORP Sensor for Arduino'}, 1]
100 1539.9 [{'name': 'Mean Well Power Supply - 24V 350W 14.6A'}, 2]
101 1519.8 [{'name': 'eSUN WoodFill Filament - 1.75mm 0.5kg'}, 4]
102 1499.75 [{'name': 'eSUN PLA+ Filament - 1.75mm Pine Green'}, 5]
103 1487.85 [{'name': 'NEMA 17 Stepper Motor with Leadscrew - Tr8 300mm'}, 3]
104 1478.0 [{'name': 'eSUN eAluFill Filament - 1.75mm 1kg'}, 2]
105 1469.95 [{'name': 'The ForeRunner - Tank Track Robot Chassis'}, 1]
106 1449.75 [{'name': 'eSUN PLA Filament - 1.75mm Red'}, 5]
107 1425.0 [{'name': 'Intermediate Arduino UNO Starter Kit'}, 3]
108 1409.6999999999998 [{'name': 'Solder 0.7mm 500g Roll Flux Core'}, 6]
109 1399.95 [{'name': 'Pirate: 4WD Arduino Mobile Robot Kit'}, 1]
110 1399.8 [{'name': 'eSUN eTwinkling PLA Filament - 1.75mm Black'}, 4]
111 1379.6999999999998 [{'name': '0.2mm Micro Swiss MK8 Nozzle for Creality 3D Printers - Plated Brass'}, 6]
112 1359.9 [{'name': 'RAMPS 1.4 Kit with Arduino Mega & 5x A4988'}, 2]
113 1350.0 [{'name': 'Arduino RFID Kit'}, 2]
114 1349.95 [{'name': 'NinjaTek NinjaFlex Filament - 1.75mm Sapphire Blue'}, 1]
115 1349.85 [{'name': 'Raspberry Pi Camera'}, 3]
116 1319.4 [{'name': 'GT2 Belt & Pulley Kit'}, 12]
117 1299.95 [{'name': 'Switching DC 60V 5A Lab PSU'}, 1]
118 1279.8 [{'name': 'CCTREE Gradient PLA Filament - 1.75mm Light Colours'}, 4]
119 1259.55 [{'name': 'TB6560 Stepper Motor Driver'}, 9]
120 1199.95 [{'name': 'Particle Boron 2G/3G Cellular Kit'}, 1]
121 1199.9 [{'name': 'Anycubic 3D Resin – Black 500ml'}, 2]
122 1199.85 [{'name': 'eSUN PETG Filament - 1.75mm Solid Orange'}, 3]
123 1199.8 [{'name': 'eSUN PLA+ Filament - 1.75mm Red'}, 4]
124 1199.75 [{'name': 'NEMA 17 Stepper Motor (1.7A , 4 kg-cm)'}, 5]
125 1199.6 [{'name': 'Arduino Nano'}, 8]
126 1199.5 [{'name': 'HC-06 Bluetooth to Serial Module - Arduino Compatible'}, 10]
127 1189.6499999999999 [{'name': 'RGB LED Strip | 60/m - WS2812B - 5V DC | IP65 Casing'}, 7]
128 1187.85 [{'name': 'Charlstruder for Prusa i3 Kit'}, 3]
129 1169.95 [{'name': 'Prusa i3 XL Build Volume Upgrade Kit'}, 1]
130 1159.9 [{'name': 'USB AVRISP XPII, AVR Programmer'}, 2]
131 1159.8 [{'name': 'eSUN PLA Filament - 1.75mm Silver'}, 4]
132 1119.6499999999999 [{'name': 'SIM800L GSM/GPRS Core Dev Board Module'}, 7]
133 1119.6 [{'name': 'OBD2 Bluetooth ELM327 Module'}, 8]
134 1099.95 [{'name': 'Wanhao i3 Mini Motherboard and LCD'}, 1]
135 1099.75 [{'name': 'XTC-3D High Performance 3D Print Coating - Small 181g'}, 5]
136 1095.0 [{'name': 'RUMBA PLUS Motherboard'}, 1]
137 1059.9 [{'name': 'eSUN eLastic TPE Filament - 1.75mm Natural'}, 2]
138 1049.85 [{'name': 'TS100 Power Supply - 19V 2.1A Universal DC PSU'}, 3]
139 1049.75 [{'name': 'NEMA 17 Stepper Motor (1.5A, 0.45Nm, 39mm)'}, 5]
140 1039.95 [{'name': 'EcoDuino – Automatic Plant Watering Kit'}, 1]
141 1016.5500000000001 [{'name': 'BuildTak 250x270mm'}, 9]
142 999.95 [{'name': 'Raspberry Pi OctoPrint Kit - Online 3D Printing Server'}, 1]
143 999.8 [{'name': 'Creality CR-10 Hotend Assembly'}, 4]
144 989.5500000000001 [{'name': 'Arduino Nano - CH340'}, 9]
145 979.75 [{'name': 'USB Type-C Power Supply - 5.1V 3A - Raspberry Pi Original - Black'}, 5]
146 979.6499999999999 [{'name': 'NodeMCU V3 Lua ESP8266 ESP-12E WIFI Development Board'}, 7]
147 959.8499999999999 [{'name': 'UART A6 GSM & GPRS Module'}, 3]
148 919.8 [{'name': 'Large Current Motor Driver Module BTS7960 - 43A'}, 4]
149 899.95 [{'name': 'Raspberry Pi Accessories Pack - Sensor Development Kit'}, 1]
150 899.9 [{'name': 'PiJuice LiPo Battery 3.7V 12000mAh 1Cell'}, 2]
151 899.8499999999999 [{'name': 'eSUN PLA+ ReFilament - 1.75mm Black'}, 3]
152 895.0 [{'name': 'eSUN eResin Standard - Sky Blue 1 Litre'}, 1]
153 884.8499999999999 [{'name': 'TB6600 Stepper Motor Driver'}, 3]
154 879.8 [{'name': 'FlashForge PLA Filament - 1.75mm Red 0.5kg'}, 4]
155 879.6 [{'name': 'Assorted Colour Heatshrink Kit'}, 8]
156 875.4000000000001 [{'name': 'LCD Display 16x2 White on Blue - I2C Backpack Controlled'}, 12]
157 869.8499999999999 [{'name': 'eSUN PLA Filament - 1.75mm Transparent Red Watermelon'}, 3]
158 854.5500000000001 [{'name': 'SIL Connector Kit - 310pcs'}, 9]
159 849.95 [{'name': 'Creality 24V Hotend Assembly'}, 1]
160 839.9 [{'name': 'CCTREE Conductive ABS Filament - 1.75mm Black'}, 2]
161 839.65 [{'name': 'TL-Smoother Plus - Stepper Filter Module'}, 7]
162 807.0 [{'name': 'Oscilloscope Probes 100MHz'}, 3]
163 799.95 [{'name': 'The PiJuice HAT - Portable Power Platform for Pi'}, 1]
164 799.9 [{'name': 'eSUN PETG Filament - 1.75mm Solid Grey'}, 2]
165 799.8 [{'name': '6V 1A Flexible Solar Panel - 275x170mm'}, 4]
166 799.6 [{'name': 'Orion 24V 4010 Silent Axial Fan - 25dBA Sealed Sleeve Bearing'}, 8]
167 799.0 [{'name': 'Side Cutters'}, 20]
168 789.95 [{'name': 'Mean Well Power Supply - 12V 350W 29A'}, 1]
169 779.95 [{'name': 'eSUN eSteel Filament - 1.75mm Natural'}, 1]
170 779.9 [{'name': 'TR8X8 Metric Lead Screw Only - 1000mm'}, 2]
171 769.45 [{'name': 'Thermostat Module 12DC'}, 11]
172 759.9 [{'name': 'eSUN PLA Filament - 1.75mm Marble'}, 2]
173 749.95 [{'name': 'Mean Well Power Supply - 48V 350W 7.3A'}, 1]
174 719.8 [{'name': 'Micro USB Power Supply - 5.1V 2.5A - Raspberry Pi Original - Black'}, 4]
175 719.7 [{'name': 'LiPo Battery 3.7V 1200mAh 1C 1Cell'}, 6]
176 719.6 [{'name': '16GB Micro SD Card - SanDisk | Class 10 | UHS-1'}, 8]
177 719.5500000000001 [{'name': 'Solder Iron Tip Cleaner'}, 9]
178 717.0 [{'name': '64GB Micro SD Card - SanDisk | Class 10 | UHS-1 | A1 Rated'}, 3]
179 714.35 [{'name': 'DRV8825 Stepper Motor Driver Module'}, 13]
180 699.95 [{'name': 'Medium 16x32 RGB LED Matrix Panel'}, 1]
181 699.9 [{'name': 'eSUN eTwinkling PLA Filament - 1.75mm Red'}, 2]
182 699.75 [{'name': 'Chromed Linear Shafting Diam: 8mm Length: 1m'}, 5]
183 689.95 [{'name': 'Raspberry Pi Accessories Pack - Portable Workstation'}, 1]
184 689.8499999999999 [{'name': 'Wanhao ABS Filament - 1.75mm'}, 3]
185 689.7 [{'name': '8 Channel 5V Relay Module 10AMP/250V'}, 6]
186 679.8 [{'name': 'XY-L30A 6-60V Battery Charge Control Module with LCD Display'}, 4]
187 669.9 [{'name': 'Prusa i3 Bearing Kit'}, 2]
188 659.8499999999999 [{'name': 'Wanhao PLA Filament - 3mm'}, 3]
189 649.95 [{'name': 'Creality Ender 3 Motherboard - V1.1.4'}, 1]
190 649.75 [{'name': 'Panasonic NCR18650PF 3.7V 2700mAh Li-Ion Cell'}, 5]
191 639.8 [{'name': 'Mini A6 GPRS/GSM Module'}, 4]
192 639.6 [{'name': 'Solid State Relay SSR AC 25A (3-32V DC Input)'}, 8]
193 629.95 [{'name': 'Orange Pi PC 2'}, 1]
194 609.95 [{'name': 'Fingerprint Sensor Module'}, 1]
195 599.95 [{'name': 'JCU 858D Hot Air Rework Station - 700W'}, 1]
196 599.9 [{'name': 'eSUN PLA+ Filament - 1.75mm Olive Green'}, 2]
197 599.8499999999999 [{'name': 'SONOFF Basic: Single Channel WiFi Relay'}, 3]
198 599.7 [{'name': 'DHT22 Temperature & Humidity Sensor'}, 6]
199 599.5 [{'name': 'Creality 24V 4010 Axial Fan'}, 10]
200 599.4000000000001 [{'name': 'TowerPro Micro 9 Gram Hobby Servo - SG90'}, 12]
201 587.8499999999999 [{'name': 'USB Type-C Power Supply - 5.1V 3A - Raspberry Pi Original - White'}, 3]
202 579.95 [{'name': 'Creality CR-10S Pro Hotend Assembly'}, 1]
203 579.92 [{'name': 'eSUN PLA Filament - 3mm White'}, 2]
204 579.9 [{'name': 'eSUN PLA Filament - 1.75mm Transparent Yellow Lemon'}, 2]
205 579.0 [{'name': 'Male to Male Breadboard Jumpers - 40pcs 20cm'}, 20]
206 559.95 [{'name': 'eSUN eFlex TPU Filament - 1.75mm Natural'}, 1]
207 559.8 [{'name': 'Beetle - The Smallest Arduino'}, 4]
208 549.95 [{'name': 'Creality CR-10S Pro Capacitive Probe'}, 1]
209 539.95 [{'name': 'MGN12 Linear Guide Rail with Carriage - 480mm'}, 1]
210 539.9 [{'name': '16 Channel 5V Relay Module 10AMP'}, 2]
211 539.8 [{'name': 'Solar Power Manager 5V'}, 4]
212 539.7 [{'name': 'AC Adapter 12V 5A Power Brick | DC Jack 2.1mm'}, 6]
213 529.95 [{'name': 'eSUN eSmooth Filament - 1.75mm 0.5kg'}, 1]
214 524.8499999999999 [{'name': 'RAMPS 1.4 Arduino Shield'}, 3]
215 524.75 [{'name': 'TowerPro MG996R Servo Motor - 360 Degree Rotation'}, 5]
216 523.9499999999999 [{'name': 'Male to Female Breadboard Jumpers - 40pcs 21cm'}, 21]
217 519.8 [{'name': 'Wire Wrapping Wire 30AWG, 8 Colours, 280Meters'}, 4]
218 519.6 [{'name': '4 Channel 5V Relay Module 10AMP/250V'}, 8]
219 499.95 [{'name': 'eSUN eASA Filament - 1.75mm Black'}, 1]
220 499.9 [{'name': 'Ultrasonic Waterproof Distance Sensor Module'}, 2]
221 499.0 [{'name': 'eSUN eFlex TPU Filament - 1.75mm Clear'}, 1]
222 494.88 [{'name': 'Veroboard 100x300mm'}, 3]
223 494.55 [{'name': 'Triple Axis Accelerometer and Gyro Breakout - MPU-6050 6DOF Module'}, 9]
224 489.95 [{'name': 'Arduino Beginner Kit - Seeed Studio Grove Series'}, 1]
225 489.65000000000003 [{'name': 'LCD Display 16x2 White on Blue - LCD Arduino Shield with Keypad'}, 7]
226 479.95 [{'name': 'LC Meter (Capacitance / Inductance Measure)'}, 1]
227 479.9 [{'name': 'Graphical Colour 2.2" TFT LCD 240x320 ILI9341'}, 2]
228 479.84999999999997 [{'name': 'Arduino Leonardo Pro Micro ATMega32U4'}, 3]
229 479.8 [{'name': 'USB Power Supply – 5V 2.5A – Raspberry Pi Compatible'}, 4]
230 469.95 [{'name': 'eSUN eFlex TPU Filament - 1.75mm White'}, 1]
231 459.95 [{'name': 'BuildTak 500x500mm'}, 1]
232 459.9 [{'name': 'Wanhao PLA Filament - 1.75mm'}, 2]
233 454.65000000000003 [{'name': 'RFID Starter Kit 13.56MHz'}, 7]
234 449.95 [{'name': 'IoT LoRa Node pHAT for Raspberry Pi - Multi Frequency'}, 1]
235 449.84999999999997 [{'name': '2WD Robot Car Chassis Kit'}, 3]
236 449.75 [{'name': 'Creality 12V 4010 Blower Fan'}, 5]
237 449.70000000000005 [{'name': 'TR8x8 Metric Anti Backlash Lead Screw Nut'}, 6]
238 449.5 [{'name': 'A4988 Stepper Motor Driver Module'}, 10]
239 439.95 [{'name': 'The Black Gladiator - Tracked Tank Chassis'}, 1]
240 439.9 [{'name': 'Wanhao D6 Thumb Nuts - Wanhao Original'}, 2]
241 434.84999999999997 [{'name': 'DC-DC Switchmode Buck Boost Module - LM2596&LM2577'}, 3]
242 429.95 [{'name': 'Orange Pi One'}, 1]
243 419.95 [{'name': 'Optical Flow Sensor Module APM 2.5'}, 1]
244 419.9 [{'name': 'LiPo Battery 3.7V 2500mAh 1C 1Cell'}, 2]
245 419.84999999999997 [{'name': 'Water Flow Sensor YF-B6 (1-30 L/min , 1.5 MPa)'}, 3]
246 419.65000000000003 [{'name': 'Creality 24V 4010 Blower Fan'}, 7]
247 405.65000000000003 [{'name': 'Arduino Motor Shield'}, 7]
248 404.55 [{'name': 'DS18B20 Waterproof Temperature Sensor'}, 9]
249 399.95 [{'name': 'eSUN eBamboo Filament - 1.75mm 0.5kg'}, 1]
250 399.9 [{'name': 'TR8X8 Metric Lead Screw Only - 400mm'}, 2]
251 399.8 [{'name': 'TowerPro MG996R Servo Motor'}, 4]
252 399.75 [{'name': 'MG90S Servo Motor'}, 5]
253 395.0 [{'name': '16GB Micro SD Card - SanDisk | Class 4 | UHS-1'}, 5]
254 389.95 [{'name': 'Orange Pi Zero (512 MB DDR3 RAM)'}, 1]
255 389.84999999999997 [{'name': 'HDMI to Micro HDMI Cable - Raspberry Pi Original - White'}, 3]
